Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
197,Waco,Texas,"134,432","124,805",7.71%,89.0 sq mi,1510,31.56,97.19
198,Charleston,South Carolina,"134,385","120,083",11.91%,109.0 sq mi,1233,32.82,79.96
199,Columbia,South Carolina,"134,309","129,272",3.90%,133.5 sq mi,1006,34.03,80.9
200,Denton,Texas,"133,808","113,383",18.01%,93.4 sq mi,1433,33.22,97.14
201,Carrollton,Texas,"133,351","119,097",11.97%,36.3 sq mi,3674,32.99,96.9
202,Surprise,Arizona,"132,677","117,517",12.90%,107.9 sq mi,1230,33.67,112.45
203,Roseville,California,"132,671","118,788",11.69%,43.0 sq mi,3085,38.77,121.32
204,Sterling Heights,Michigan,"132,427","129,699",2.10%,36.5 sq mi,3628,42.58,83.03
205,Murfreesboro,Tennessee,"131,947","108,755",21.32%,55.9 sq mi,2360,35.85,86.42
206,Gainesville,Florida,"131,591","124,354",5.82%,62.3 sq mi,2112,29.68,82.35
207,Cedar Rapids,Iowa,"131,127","126,326",3.80%,70.8 sq mi,1852,41.97,91.68
208,Visalia,California,"131,074","124,442",5.33%,37.5 sq mi,3495,36.33,119.33
209,Coral Springs,Florida,"130,059","121,096",7.40%,23.8 sq mi,5465,26.27,80.26
210,New Haven,Connecticut,"129,934","129,779",0.12%,18.7 sq mi,6948,41.31,72.93
211,Stamford,Connecticut,"129,113","122,643",5.28%,37.6 sq mi,3434,41.08,73.55
212,Thousand Oaks,California,"128,888","126,683",1.74%,55.2 sq mi,2335,34.19,118.87
213,Concord,California,"128,726","122,067",5.46%,30.5 sq mi,4221,37.97,122
214,Elizabeth,New Jersey,"128,640","124,969",2.94%,12.3 sq mi,10459,40.67,74.19
215,Lafayette,Louisiana,"127,626","120,623",5.81%,53.8 sq mi,2372,30.21,92.03
216,Kent,Washington,"127,514","92,411",37.99%,33.7 sq mi,3784,47.39,122.21
217,Topeka,Kansas,"126,808","127,473",_0.52%,61.5 sq mi,2062,39.03,95.7
218,Simi Valley,California,"126,327","124,237",1.68%,41.5 sq mi,3044,34.27,118.75
219,Santa Clara,California,"125,948","116,468",8.14%,18.4 sq mi,6845,37.36,121.97
220,Athens,Georgia,"123,371","115,452",6.86%,116.4 sq mi,1060,33.95,83.37
221,Hartford,Connecticut,"123,243","124,775",_1.23%,17.4 sq mi,7083,41.77,72.68
222,Victorville,California,"122,265","115,903",5.49%,73.3 sq mi,1668,34.53,117.35
223,Abilene,Texas,"122,225","117,063",4.41%,106.7 sq mi,1146,32.45,99.74
224,Norman,Oklahoma,"122,180","110,925",10.15%,178.8 sq mi,683,35.24,97.35
225,Vallejo,California,"121,299","115,942",4.62%,30.7 sq mi,3951,38.11,122.26
226,Berkeley,California,"121,240","112,580",7.69%,10.5 sq mi,11547,37.87,122.3
227,Round Rock,Texas,"120,892","99,887",21.03%,35.6 sq mi,3396,30.53,97.67
228,Ann Arbor,Michigan,"120,782","113,934",6.01%,28.1 sq mi,4298,42.28,83.73
229,Fargo,North Dakota,"120,762","105,549",14.41%,49.3 sq mi,2450,46.87,96.83
230,Columbia,Missouri,"120,612","108,500",11.16%,65.0 sq mi,1856,38.95,92.33
231,Allentown,Pennsylvania,"120,443","118,032",2.04%,17.5 sq mi,6882,40.59,75.48
232,Evansville,Indiana,"119,477","117,429",1.74%,47.3 sq mi,2526,37.99,87.53
233,Beaumont,Texas,"118,299","118,296",0.00%,82.1 sq mi,1441,30.08,94.15
234,Odessa,Texas,"117,871","99,940",17.94%,45.2 sq mi,2608,31.88,102.34
235,Wilmington,North Carolina,"117,525","106,476",10.38%,51.6 sq mi,2278,34.21,77.89
